id_tweet,text_tweet
1031549723826634753,"do n t think you can trigger a rescan since june asc ha use the om agent"
1031554162922807298,"aztechhelp i m get a sorri unauthor action on when click on"
1031558042821611522,"aztechhelp how do you reset a pre shar key on a classic vpn gateway"
1031558235222892546,"no chang for month i know that i have been able to access thi portal before but i ca n t remember"
1031560060084858880,"azhelp where can i find non profit price for ad p1 amp p2 can our azure credit be use for those purchas"
1031560906826756096,"is azureinformationprotect also work for disabl download of pdf not find ani answer i"
1031561593992110080,"learn about linux backup amp restor on the azure academi"
1031569292331032576,"have difficult time figur out how to get my rd user cal work with azure ad"
1031570262402260992,"first i am wonder whi i even have to do azure ad just to get rd user cal to work on my azure window server"
1031570418057072641,"and if azure ad is requir how do i get my azure ws to know it exist"
1031572168889520128,"thank chri i think your right i will give it hour to see what happen"
1031575885994962944,"so i can not simpli use the rd user cal on one machine a domain mean azure ad is requir"
1031576841805545480,"aztechhelp hi there i want to check if my sql sever database is current be back up automatic"
1031581738072330246,"hi how do i know which power bi data set are use memori from my power bi embed resource as"
1031583497528332290,"thank you da best"
1031589159872282624,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct qu"
1031589426214785024,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031590467819819008,"i have but my concern is with my azure memori usage in the screenshot below it show i am use mo"
1031593065860026368,"we onli have one server can thi server also act as the licens server i wa told i had to have a"
1031594604955660288,"hi bit complic for me could you check on my account kindli"
1031595351235600390,"we are maybe we should do per device"
1031595829113643008,"aztechhelp want to use thi to create local backup of my azure sql dat"
1031597758292127745,"so i should tri to change the per user license to a per device i am on the phone with busi cent"
1031599387867275265,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031602276262203392,"yep we do not need ad so sound like the correct fit thx for your help"
1031603982681157632,"doe anyone know how to get the secur centre to rescan for recommend i have fix some and want them to"
1031604369219825664,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031607853449129985,"thank you"
1031608066251218944,"is n t there some standard visio templat of a highli available network web bu db that we can use"
1031609338903912449,"i have post thi question on august and today is august but still ca n t get ani answer can i ask whi"
1031611511289139207,"if you guy think i am free user so i m not if you need i can do dm to you please help do the need"
1031611888356847616,"we can see your point hope it s in the pipeline in the meantime feel free to reach out if you ha"
1031612675329912832,"for sure"
1031613002427101188,"ani update here i test to sqlpackage command over the weekend use the highest possible set f"
1031613421622423559,"azhelp do you have guidance on migrat a basic wordpress site from on prem to azure not sure what my option are"
1031619795894951937,"ha public peer been alreadi deprec eressroute"
1031625124934348800,"i tri to create one and it fail with an error invalid bgp peer type public peer ha been deprec"
1031627221306429442,"set up cisco asa vpn to azure what doe custom azurevpn policies withnarrowtrafficselector me"
1031630702155112449,"aztechhelp whi with my mpn suscript i can not create a qna maker service the manag price tier is unavailable"
1031630890290429952,thank
1031638252711829505,"hello i am tri to create an ert of an exist database in azure howev i am run into t"
1031642400224096264,"ani idea on which is the powershel command to create an azure user s last sign in report"
1031643589246427136,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031644011944202246,"i need immediate bill support i have open ticket all of which have been resolv just to fi"
1031646251215974400,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031647232636985344,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031649583724736514,"sure i ll wait"
1031650452616568832,"aztechhelp i set up trial backup and put my credit card with them i guess when the trial end i"
1031651931926740992,"azcommun noth is run but of the memori is use whi"
1031653407227035649,"sent thank you"
1031653720516440064,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031654503865561089,"here is a call for microsoft azure to ban neo nazi hate website gab for their constant threats"
1031656038846656512,"i restart virtual machine noth run but low memori warn chris com account what give"
1031657484967141381,"run vm as test account more memori than my office pc yet with noth open there is low memo"
1031661605975674882,"you guy realli need to pay close attent if you go to the first question it clearli say power"
1031661734195601414,"whi would a brand new window server instance come up with a black screen and cmd window when i log in for the first time"
1031664113469083648,"i can see it say someth like select manag and then it just goe black"
1031665477448282113,"also i creat thi new vm because our old vm ha gotten corrupt and ruin can i detach the drive"
1031672362997956608,"nope that s the onli error"
1031674566488346624,"a port as a software port to those platform mac and or linux"
1031675684454838274,"run the cosmosdb emul on mac or linux"
1031683463236251650,"hi i saw that post howev the script have a warn on them that is off put"
1031691851701604352,"you can run the cleanup script connect to the database copi without ani problem t"
1031699778332024832,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031699836347789312,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031702886466691074,"hey my virtual machine all of a sudden crash and now it seem no matter what i do i can not get the machine to loa"
1031721364774764544,"hi where can i complain about the azure support i m get i ve rais a performance issue days"
1031723675211497475,"ye i clear my cache still have the issue"
1031724299969802243,"when i click in api it suppos to show thi now it is show not found"
1031727364017860608,done
1031728362690109440,"how about you make thi text oh i dunno highlightable so i can copi the damn thing out of thi box"
1031748343955906560,"azhelp how can one recov a username and password on a virtual machine tri rest admin passwo"
1031750538952466434,"azhelp i want to create a virtual machine use free servic in japan region but i can not find j"
